gamma,lambda_1,lambda_2,spacing,det_R,trace_R,sigma_estimate,distance_t0t1,distance_t1t2,p_spacing_naive,p_spacing_stable,p_tspacing_naive,p_tspacing_stable,valid
2.5,5.470956784539263,1.9576177927281813,3.513338991811082,-0.0852173367653125,-1.2336090178586183,0.8758167209465076,0.000483663702636139,0.49148098014144653,4.122559238320918e-06,4.1225592385048705e-06,0.009534775990795255,0.009534775990795377,True
2.5,4.524971855246891,1.7618818438203117,2.7630900114265793,-1.2159224932799864,0.0673619373604295,0.8027231307747494,0.017720682901579188,0.2885650359030476,0.0004675663013468926,0.0004675663013469256,0.02315637865468498,0.02315637865468509,True
2.5,4.886332881837863,2.080293798092727,2.8060390837451354,-0.5166861115235849,-0.645087905746,1.0055160602899291,0.010902476407655182,0.527905173625208,0.00010951526961850082,0.00010951526961837436,0.03626623843881629,0.03626623843881616,True
2.5,4.877034350843747,1.6520393152270432,3.224995035616704,-0.6209302886031675,1.0856741948291044,0.757195726159575,0.005230112212749716,0.16655486105649875,0.00013808789442706747,0.0001380878944271848,0.014160588213578204,0.014160588213579371,True
2.5,5.276873221786941,1.992864673402554,3.284008548384387,-1.8690592517340634,0.6063799558689755,0.9689149728563717,0.022776027080626482,0.12988320934685965,2.8962398379679334e-05,2.8962398380159985e-05,0.034197173537387215,0.03419717353738748,True
2.5,3.538249985873043,1.8314974518485208,1.7067525340245224,-1.1961679755910326,0.7288690208886506,0.9472604819006714,0.003861785778777993,0.15166411017312198,0.027808534319125628,0.027808534319125472,0.1720439401148872,0.17204394011488783,True
2.5,5.834483175951755,1.0871321859885634,4.747350989963191,1.1185532604064938,-2.180107899213235,0.6202269567607627,0.00837043360897427,0.6505657128762837,1.3335098546911693e-07,1.3335098547819633e-07,0.00031837784472818243,0.0003183778447283256,True
2.5,4.353568261229341,2.223092531832271,2.1304757293970704,-0.6621992928226296,-1.2976560494898584,1.1938839604722775,0.00855348307944398,0.4516645119832664,0.00142139196008673,0.0014213919600866752,0.10995677890856825,0.10995677890856817,True
2.5,5.099680258991511,1.4847788154953134,3.6149014434961977,-0.02991258000783219,0.47372194279469726,0.6356455235953542,0.00496997666621396,0.49402484489356174,2.1536507356154758e-05,2.1536507355967882e-05,0.003227376576909784,0.003227376576909682,True
2.5,5.001854101541304,3.0746475237024784,1.9272065778388257,0.7769673275507312,-2.541017850898915,1.4152113465570924,0.0029080331260192827,0.630765248492549,0.0005349769067287842,0.0005349769067319963,0.16136588785853298,0.16136588785853295,True
2.5,5.624743705813048,2.0051388593417503,3.6196048464712973,-1.8771193102001111,-0.08869127647520236,1.0799211478982182,0.008284735970407464,0.2961167251524143,3.2468830928254017e-06,3.2468830931293404e-06,0.028046989023990967,0.02804698902399067,True
2.5,5.377197540797371,1.0467048064946032,4.3304927343027675,-0.28449129043827953,-0.2607981123175662,0.48575722118613013,0.0026023006829556383,0.4372755007588725,2.9741037633528466e-06,2.9741037634455463e-06,0.0002832993575548033,0.00028329935755463454,True
2.5,4.3003292909878015,2.5297946841487393,1.7705346068390622,0.7212938579679249,2.395180440637032,1.0763388176530275,0.009610624728632,0.20442639669601975,0.007325284428986886,0.007325284428992748,0.2546478131205862,0.25464781312058504,True
2.5,6.987730497001624,1.7672837849607619,5.220446712040862,-2.3628173896167213,0.43059553178871446,0.8497199161513732,0.004393660712275038,0.013214111542684925,1.0688105485262077e-09,1.0688114857653963e-09,0.0032767483096702655,0.003276748309668227,False
2.5,5.178330698727473,1.8182055691562768,3.3601251295711965,0.4420133021368997,1.3692804003174759,0.8912745512994076,0.02012629834517904,0.4122543318681611,2.91015266738629e-05,2.9101526673078652e-05,0.020320159946571714,0.02032015994657115,True
2.5,5.579465341111134,1.3348465307413198,4.244618810369814,0.4496750414141725,-1.4668430699366848,0.7134660701325418,0.002565731430483331,0.6148306684793875,8.571856110364486e-07,8.571856110047929e-07,0.0014159605362033024,0.0014159605362035832,True
2.5,5.3512154062986195,2.745347323434967,2.6058680828636525,-3.3057807512920774,0.5391116202752442,1.3234872475857304,0.011046467514571612,0.2758709825562742,7.946918526170861e-05,7.946918526344194e-05,0.20705963712283765,0.20705963712284,True
2.5,4.634102028283367,1.939422877172429,2.6946791511109383,-1.4154447026088253,0.8820815412491914,0.8135271207296818,0.00580786920299009,0.1080987282825705,0.0005944813171239464,0.0005944813171235804,0.03495099545949757,0.03495099545949809,True
2.5,4.45865474787097,2.303329839273613,2.1553249085973567,-1.0326023330314427,-0.6729000529130112,1.0290041903090363,0.004964854693524368,0.5091597508703112,0.001183123197191444,0.0011831231971914508,0.08228113681169726,0.08228113681169648,True
2.5,5.583211003250741,1.1932911331995104,4.389919870051231,1.3399435977967573,-2.3650676185705772,0.6987129134613569,0.004553272888880688,0.6637275083865426,5.856348325340332e-07,5.856348325741343e-07,0.0008425005326784771,0.0008425005326782641,True
2.5,3.8970459830868123,2.0772352875054416,1.8198106955813707,-0.1677978276126176,1.594648270391068,1.0389176131251785,0.012737821951364858,0.42162260587955036,0.013249133920262219,0.013249133920262902,0.21028169354912363,0.21028169354912243,True
2.5,3.7265785212356994,1.5775444829843253,2.149034038251374,-1.3591110996330165,0.23720478228666453,0.8903043009395173,0.0023897578739134895,0.15541316466361788,0.009799595849950321,0.00979959584995038,0.08009218721772397,0.08009218721772317,True
2.5,5.948575848797531,1.4806847003941574,4.467891148403373,-0.5280362344297088,1.0614915495594945,0.6364478533417448,0.0018077204210925624,0.03507337041783115,4.628380282451231e-07,4.6283802816488367e-07,0.001643507626429388,0.0016435076264301122,True
2.5,5.157850973811571,2.319723900810209,2.838127073001362,-0.8726226270243328,1.6551484267754466,0.954210777711473,0.02538461768964234,0.1012488279983666,0.00012195950293181433,0.00012195950293164021,0.06291262172219045,0.06291262172218691,True
2.5,4.3425901407998895,2.1269585112143674,2.215631629585522,0.13328286291950175,1.583022936261937,0.8694260945367391,0.015177017680121418,0.23271664221967547,0.0023217925458430076,0.002321792545844382,0.07420266809576552,0.07420266809576508,True
2.5,4.609658961289473,2.1902722223675157,2.4193867389219577,-2.5232528718359584,-1.7570341185362186,1.2758832089804077,0.0011057200153868907,0.6781321469994257,0.0004836188889209179,0.0004836188889212582,0.10986098664526815,0.109860986645268,True
2.5,5.428471760833153,1.2032363868236329,4.22523537400952,-0.3948612154924056,0.24859393163431975,0.5495985043225265,0.004206911158542881,0.2836660075941668,3.3154955943492352e-06,3.3154955943656275e-06,0.0007256464361310687,0.0007256464361314434,True
2.5,5.355437347621377,1.4082150174256443,3.947222330195733,0.18636495201602452,1.4031612302507073,0.6637312052255593,0.004160015144178242,0.13421801075391832,1.034127294533994e-05,1.034127294571286e-05,0.0035112022948956176,0.0035112022948947845,True
2.5,5.112082289155917,1.6231804425945264,3.4889018465613906,-0.710509850283017,-0.05713164561974604,0.7809363211123519,0.0014848282981355654,0.6000081979655763,2.2635426521195908e-05,2.2635426521127332e-05,0.007923521561362855,0.007923521561362949,True
