gamma,lambda_1,lambda_2,spacing,det_R,trace_R,sigma_estimate,distance_t0t1,distance_t1t2,p_spacing_naive,p_spacing_stable,p_tspacing_naive,p_tspacing_stable,valid
0.0,1.8226882306647654,1.415553306070215,0.40713492459455036,-1.4312013530363294,-1.7629970479432913,0.8642762129192356,0.2861871211053745,0.7234632867447865,0.5951083295712906,0.5951083295712903,0.5972113070862924,0.5972113070862924,True
0.0,3.27016098442308,2.595801624132262,0.674359360290818,-0.4663085073360285,-0.813163182434943,1.1698941130040612,0.5833705544228884,0.5908040546189472,0.16308634629217864,0.16308634629217808,0.4937088081264296,0.4937088081264295,True
0.0,0.9201268477054639,0.6260903544045738,0.2940364933008901,0.30514107435320265,-1.2044132153964962,0.39115354409404185,0.28346567447924625,0.6122818241712663,0.8324919675095271,0.832491967509527,0.40389781289958243,0.4038978128995827,True
0.0,1.6980505755774258,1.1298998353825023,0.5681507401949235,-0.15974041848608406,0.9317320426737443,0.5381035266663117,0.957213756009462,0.04377400879843191,0.730954543516899,0.730954543516899,0.33266158411397906,0.33266158411397934,True
0.0,2.1027738073522686,1.2469192937325333,0.8558545136197353,-0.6454486017637323,0.5172944255885645,0.716575211778213,0.31953793891150944,0.1427075640276959,0.44109794560034543,0.44109794560034543,0.3074575466800767,0.30745754668007597,True
0.0,3.6798240224671406,1.674525210113276,2.005298812353865,0.08430924145646534,-0.7948108533840306,0.6767883415497682,0.4649064359980199,0.5215457169029267,0.007409882601886329,0.007409882601886482,0.0299400485836489,0.029940048583648547,True
0.0,2.3878082883362945,2.285987524175968,0.1018207641603266,3.239307392211384,-4.338921999037536,1.2821910614917427,0.8132422811280691,0.6916917516969632,0.7927710515878971,0.7927710515878978,0.8972236290565494,0.8972236290565491,True
0.0,2.013733859266416,2.00469384398844,0.009040015277975932,-0.14079008507517948,-0.7865992728815165,0.7895687580626597,0.22189775065155581,0.5894172217649885,0.9844383096755287,0.9844383096755281,0.9858319453304603,0.98583194533046,True
0.0,1.4201789143001,1.0681804153651515,0.3519984989349485,0.3615248743447663,-1.3548996923801502,0.5680808943263992,0.3105793896909095,0.6454209803519267,0.6881793221644986,0.6881793221644985,0.4579453801959783,0.4579453801959785,True
0.0,1.3837388389336727,1.3737340097888209,0.01000482914485179,0.39733652833004857,-2.3305450617262613,0.8038927459875527,0.7551579117140726,0.6875010105582481,0.9877407090370558,0.9877407090370558,0.9851435267291977,0.9851435267291979,True
