alpha,lambda_0,lambda_1,lambda_2,spacing_pvalue,tspacing_pvalue,distance_t0t1,distance_t1t2,sigma_estimate,det_R,trace_R
0.0,0.0,2.2695971117699676,1.5757188519026546,0.3257736935086218,0.2816487963441442,0.6265392381420973,0.5425726470291705,0.6797239535770324,-0.05948949845386954,-0.42168727074059553
0.0,0.0,1.9868875898220673,1.8111376864881696,0.7573680449882346,0.817582976941553,0.69516465438895,0.683944960056426,0.9737768790016249,-1.5417607301566123,-1.7740842194548312
0.0,0.0,2.477373062776646,1.7267767742992668,0.26939380110534933,0.3843450681443135,0.8950490547400294,0.6306890640906553,0.8982368870265047,-0.804522059599445,-0.5706417391821647
0.0,0.0,1.7577427953761466,1.74676862207104,0.9845457686724725,0.9829255765075334,0.5568030055262131,0.6079878244592897,0.7582519474512841,-0.3827816386950246,-0.6173418211861483
0.0,0.0,2.3161721888976183,1.8936735863491412,0.4833916319590649,0.5845397609312354,0.8654768117982461,0.6248753664053739,0.8892539863075625,-1.2098482962759327,-0.6685057441844705
0.0,0.0,1.7023854395906897,1.0402207929916736,0.6144658711464618,0.1864922507683424,0.8694380065441212,0.19511437338133197,0.37797831827027556,-0.15874877740338833,0.5866155772214707
0.0,0.0,1.1107595228629157,0.8091600716285836,0.8749866305787357,0.4008664272176727,0.599615465560022,0.48130220472951174,0.3459734662942491,-0.04557456065977806,0.3283484423990177
0.0,0.0,2.0428679970850636,1.5369528371401004,0.5355122107209834,0.7084957557921154,0.43921520944787723,0.6720980401021338,1.131435755095165,-2.9864653876020797,-1.5989727640470561
0.0,0.0,1.7338673447317494,1.4760572288139373,0.7310370952610588,0.6023617796189222,0.41709806659217685,0.5101674907548425,0.6040324004738764,-0.026894271400719493,0.04091069174700501
0.0,0.0,2.472152157971494,2.0346923012251743,0.3998416875733754,0.6666416332025301,0.7122062475378756,0.7322309002468579,1.2827355009394694,-0.478496996313902,-3.436963048274369
0.0,0.0,0.7007663956283607,0.6869153525239914,0.9955844645391713,0.9771960973574819,0.434489344830776,0.73541842250633,0.4842866225418478,-0.44807455600499757,-0.8694427803894289
0.0,0.0,2.0599809070017097,1.9156967103085834,0.8755068457335877,0.906319361564059,0.8420729347465976,0.1293555622754471,0.8530903269576515,-0.2722188043705938,1.4649962158724517
0.0,0.0,3.3744596194801373,1.5280921235970897,0.015963066456624108,0.03498489319389975,0.7583613394422598,0.6630407336348693,0.6901550664624022,-0.15478739269728997,-1.5133825511690222
0.0,0.0,1.3634456981119292,0.7484795437053839,0.7844369848628802,0.17541483257009108,0.23051849555638448,0.019222953189817094,0.28151509096240807,-0.2478886390814811,0.3962229122531804
0.0,0.0,2.534613335641157,1.5990959113998853,0.21320889013383662,0.2488412559597371,0.17630858242113773,0.6720724533764381,0.7615779562647811,-1.5100380238611342,-0.7806990314783276
0.0,0.0,2.7536486564541534,2.158600142355303,0.23013057804912881,0.5859391701301977,0.047467476270903475,0.7233570105329559,1.4902078534741248,8.75602126530511,-6.076935168075193
0.0,0.0,2.669033708924777,2.1033734898111973,0.3219393817489784,0.5029202773496017,0.7591110112169788,0.37241747069196646,0.9337212378531486,-0.8410870570641716,-0.12770927508066432
0.0,0.0,2.762687898505228,1.3697508318629477,0.11803451372936791,0.19672317187086352,0.9502235226979301,0.2275863337017351,0.8418114689890903,-1.96789059632743,-0.6214877308346469
0.0,0.0,1.6915685899201216,1.454811373344634,0.7357124834484262,0.6673619829688703,0.7763112453634851,0.6842469077836137,0.7190426404998305,-0.5399900833600015,-1.4535419577346975
0.0,0.0,1.4040039625933436,1.0784146725797403,0.7189594674452264,0.4432140471026404,0.9578818057889943,0.5840693193746304,0.5265672917784674,0.2146788603660807,-0.9463109948411809
0.0,0.0,2.5890651909539746,1.9511307144998775,0.27209453099852693,0.4750762591059078,0.8314210640131585,0.4815503839053227,1.0488159157623653,-0.7272065361355804,-1.8264817100064215
0.0,0.0,2.6973076402220344,1.3295642409796646,0.08556157201894572,0.07566762684461618,0.7424272156302036,0.5200817550565051,0.6849868466217626,0.12521854940252053,-1.2902819809687767
0.0,0.0,1.481136584946873,1.4224532948452877,0.9308145549333641,0.9444519727471958,0.014939123246559716,0.5291359302290208,1.02422784812625,0.1604337490119281,-1.0978209154219023
0.0,0.0,1.6744904177698527,1.0348076588922261,0.4464099221050353,0.30192966891444123,0.22760403512376215,0.7408964005376715,0.7112323598073906,1.0618477160114341,-2.4776739578569806
0.0,0.0,2.66728970627627,1.306735622855325,0.08319793145407386,0.10742719519080132,0.5098932964796582,0.7347047830103973,0.8059535447296693,0.2510073600424329,-2.433183356397569
0.0,0.0,1.2252916430191716,0.9912137783252736,0.8240115601093833,0.6126891420893886,0.270306844702368,0.7041768263215293,0.5670767567680751,-0.2664161914218202,-1.1738972444459894
