alpha,lambda_0,lambda_1,lambda_2,spacing_pvalue,tspacing_pvalue,distance_t0t1,distance_t1t2,sigma_estimate,det_R,trace_R
5.0,9.45777504074614,8.824277397043492,1.4456311461728462,1.1118649986592562e-16,0.00019766664229059602,0.00015024412546960075,0.5836918419267474,0.8535342244287096,-0.3296489513753627,-1.4374412589256997
5.0,9.45777504074614,8.872857325117282,2.7657254985261006,1.351996136469247e-15,0.004539781890200944,0.0022926328812453156,0.46597586725393686,1.1270672423584813,-0.16391599449647035,0.8585864512247396
5.0,9.45777504074614,10.220575128715073,1.7073172775885461,1.2974035955075956e-21,0.00032240763369525657,0.00043548204771898247,0.005943530901952931,0.8044290649418312,-1.454843393063301,0.8490500241281391
5.0,9.45777504074614,9.848237499657362,2.1112909243957265,2.88561073783387e-20,0.0004710481895633287,0.00775787708602188,0.5592876918240881,0.9644789265957221,-0.47149832978137857,-0.5998488018246374
5.0,9.45777504074614,10.013019429465585,2.544465279524559,1.61846583774173e-20,0.001169968434150741,0.0019667896118916173,0.4164136762341525,1.0638964710523542,-0.9812405512708989,-0.15819393483544064
5.0,9.45777504074614,9.659184320675543,2.537072442773015,6.686570654803537e-19,0.0030486035048049994,0.0019342284932270526,0.4845974941722088,1.2092434615122147,0.12182848134491953,1.1897143681891373
5.0,9.45777504074614,9.731592822502789,2.096401883020179,1.635899406940954e-19,0.00046070787459318057,0.0009946678394973096,0.30147712237486013,0.8057012967161329,0.004831880377850652,1.2304692605399508
5.0,9.45777504074614,9.804788297247557,2.0740792632149083,4.408443264952824e-20,0.0008125594121908225,0.002927366881699145,0.41322303138194705,1.08631723240915,-0.7269582861458159,-0.48801226794297115
5.0,9.45777504074614,12.081601261181182,1.9941831487749706,5.838169056231259e-31,0.00024361968901890577,0.0012502702721756687,0.4438755737579238,1.186220569853616,-1.6911740073052153,-1.7939213242791734
5.0,9.45777504074614,8.396096273423128,1.502398125320775,5.6310773879990556e-15,0.0003361398937281614,0.0007772683053611784,0.7038944263038878,0.8417463702576372,-1.4944196324384267,-1.4006381481194008
5.0,9.45777504074614,8.457584767812182,1.8101176175509321,1.3075667671964551e-14,0.004257143851573024,0.002605879313945847,0.0844128002987351,1.1875609500790572,-3.6573360141036573,-0.41903060913524404
5.0,9.45777504074614,9.085753357382908,2.1715331737844528,4.839140457551608e-17,0.0032226818138698502,0.0014124954142879509,0.562497284294965,1.28932747268949,-1.8865582973205615,-0.720398032620136
5.0,9.45777504074614,9.779845663664839,2.039988702528273,5.912623842427306e-20,0.0008582356044188695,0.001045148129101725,0.4722856877093559,1.078697142820068,-0.44965130741868026,0.01788574749306404
5.0,9.45777504074614,9.178944754138948,2.320438478030605,2.2260755263240718e-17,0.002135722617173801,0.0015649778925565516,0.5518269167107462,1.1972231144240832,-0.4906779374207994,-0.8620294229134046
5.0,9.45777504074614,9.774188837398771,1.1079522693154127,4.800152278467051e-20,4.674150197151095e-05,0.003100468075706464,0.011217947797851513,0.5771200809493243,0.1150087341741895,1.20653077635588
5.0,9.45777504074614,9.968216203673705,2.236632830767555,4.384567162977536e-20,0.0011633199554287,0.002072458861306803,0.05400167752924284,0.8947112610042475,-1.5062833965933344,1.4100182397189345
5.0,9.45777504074614,10.202523467968316,1.7720469681403352,4.640908991323677e-22,0.0006747511532269079,0.0011490654327475647,0.37363403903286313,1.2023497246788075,-2.3857786222840676,-2.0234358674567443
5.0,9.45777504074614,10.029091790186293,2.912456099880126,2.40488689414576e-19,0.008432925430694982,0.0008336232550328893,0.007078949204016083,1.1871216756692975,0.4524462755009449,3.0765295879847745
5.0,9.45777504074614,11.413920901870332,2.060596123071383,1.939014861123282e-27,0.00021148530458723488,0.003213793988602831,0.6185783277304533,1.0035217891269281,-0.9417957170582733,-0.5670372765730595
5.0,9.45777504074614,10.69036836211247,1.560839004123901,1.8027383302351052e-24,5.4042630517199367e-05,0.0015101178834893147,0.5015464236323375,0.8316248759883768,-0.01722068459319921,-1.4076126484306433
5.0,9.45777504074614,9.406837176647237,1.1974565877863605,1.5055495504030928e-18,3.1050724274252595e-05,0.005461039079965591,0.09707914874243095,0.48570946913890756,0.013709339203120717,1.111077224936098
5.0,9.45777504074614,11.583872063408815,2.3379918807126208,2.1113093959348645e-28,0.0005543052980299141,0.002187869798788933,0.6891082309285137,1.387999042660878,3.878794119592638,-4.208919976533095
5.0,9.45777504074614,8.266988879710006,1.2739199571446034,1.865075781650131e-14,0.00016585485837256067,0.00418829705936602,0.6536434572871664,0.6920443140163975,-1.0295512170576306,-0.22108980751407348
5.0,9.45777504074614,8.759025733774111,1.2296883897352857,4.230952451161872e-16,0.00013060586635413847,0.0007618488970357884,0.35798089586669646,0.6572711326595614,0.33746983427311184,1.1749872284995706
5.0,9.45777504074614,9.592890751613345,2.905193336203551,5.6808298476500935e-18,0.01363621292209594,0.0018290018230419647,0.20038631131591028,1.4752837028438202,1.30777844339249,2.778019751967098
5.0,9.45777504074614,11.006659790370806,2.0299570336472903,2.230792310495356e-25,0.00015395982901024644,0.007775489887799025,0.37681510173010563,0.8275732546961434,-0.23277319288011067,0.5303280191127855
5.0,9.45777504074614,9.642062984462449,1.850108903443048,3.372990478093768e-19,0.0008206294708779707,0.002293537426859671,0.5262101463764952,0.9480648739147486,-0.3041398499615577,1.2691655145590737
5.0,9.45777504074614,9.300978474149721,1.6981609355603116,1.6403389179279267e-18,0.0005904063019329432,0.0006558060238936458,0.722165303524816,1.1309621771228107,0.16724713679192046,-2.9142640472512142
5.0,9.45777504074614,10.22208129249697,1.0477699416436361,3.340868428263942e-22,5.069872271716539e-05,0.0030991354555441886,0.13589077694996804,0.7291273465156368,-1.271855667089386,-0.23251378316610882
5.0,9.45777504074614,9.026517562159896,0.8480724256344147,1.644476688959136e-17,3.1132039667660734e-06,0.0028639540777137817,0.31831582285798943,0.42704472721956627,-0.3754919885610344,-0.3681416985874233
5.0,9.45777504074614,10.060336141315716,2.4451040525141896,6.040079656296793e-21,0.0006075669543134528,0.0006448731538452046,0.5853815954778224,0.9919080410317991,-0.11549621713849895,-1.1035072541438233
5.0,9.45777504074614,8.907021807322929,1.3288466418286002,7.557416716204941e-17,0.00020739010587761798,0.0033077179411181157,0.49007296637853087,0.8176186446691794,-0.7468160960919106,-0.2692802036717319
5.0,9.45777504074614,9.134214988141968,2.931756904261364,7.205134863342797e-16,0.02005986049274272,0.0018925045226202974,0.030970146087700656,1.4994678631378322,-8.367381568100754,-0.07338335414316277
5.0,9.45777504074614,10.177580711253238,1.8586138294435897,3.6391543617707924e-22,0.000342714353300524,0.0014492827061814983,0.6448925061821401,1.1423610888965534,2.564340618287655,-3.2088806038062425
5.0,9.45777504074614,9.798185920866114,1.3294588998568642,2.2125285826830293e-20,2.139237178641022e-05,0.0008808756687753161,0.34548720273844724,0.5533147503868683,-0.2743028562980876,0.24852765710412128
5.0,9.45777504074614,9.242076759974532,2.3428761999289325,1.2316767518039223e-17,0.0009601204026901133,0.003264975814255666,0.5726469057665332,0.9950699661547898,-0.0942129065920796,-0.9741370513256936
5.0,9.45777504074614,10.592397103097712,1.4463772937390176,1.0744013180564756e-23,7.593986304028883e-05,0.000766455774823871,0.3012455919551079,0.7535569687955533,-0.7359263047325477,0.4193740291458574
5.0,9.45777504074614,9.622978653203285,1.7432598989945096,1.691169448507381e-19,0.00010487400162575641,0.00012260835921906743,0.46552393345505155,0.6880605447372875,-0.00870468690751539,0.22544271916080927
5.0,9.45777504074614,9.319495716785697,1.6562416270089702,5.844584544933911e-18,0.0005699005957710601,0.0018679987712638124,0.33510809791631135,0.8476803093982281,-0.3386753908864071,1.221261429857496
5.0,9.45777504074614,8.574475339951253,1.943209513918998,3.621141586039979e-15,0.0015826072504193484,0.0005640134119893614,0.5515824146032204,0.9952436045067314,-0.47313224855632163,0.591435517521202
5.0,9.45777504074614,10.142962694220673,1.8984399327187773,1.628307411513389e-21,0.0004711176967838725,8.170233329318766e-05,0.5421527449235218,0.9841892999671841,-0.8555675835049281,0.2842001939348586
5.0,9.45777504074614,8.108985541631153,2.0593836273898134,1.195365385068849e-13,0.0013138120833497337,0.0010199988501026769,0.541281083715492,0.9495731223069354,-0.4658869232878837,-1.1343432824686186
5.0,9.45777504074614,9.961439605807493,2.25721440242422,7.437567505557008e-20,0.0032691901404267323,2.446187337939998e-05,0.09120890245136493,1.0720176123054914,2.633869579458128,3.330505011344389
5.0,9.45777504074614,11.251666053819973,3.0889192416014613,7.867639763246592e-26,0.0013675291464891543,0.003311633980851325,0.5923259486122636,1.336171300469619,1.9131145633628752,-2.9014819056163117
5.0,9.45777504074614,10.668126943135054,2.6902097217981558,2.856702278422277e-23,0.0015005111357505353,0.00017278970801021254,0.6094586195002656,1.2174930187703499,-2.499671966776999,-0.6752190471315009
5.0,9.45777504074614,9.100074262146327,1.8469213563198084,1.7469483460779542e-17,0.0001887733882546571,0.0008085873544473876,0.6190581653710282,0.7661838059099356,-0.17294647060920684,-1.14697662800794
5.0,9.45777504074614,11.128281722532755,1.9404432339171918,7.727574361476147e-26,0.0002772102263291139,0.0003416559642024364,0.3950905476446515,0.9136287481520178,0.4205007492927235,1.5009290866313907
5.0,9.45777504074614,8.944590089331982,1.2772642651071826,5.723736817102459e-17,0.0002722522897168114,0.003070767151891418,0.3850621084059672,0.8580106019828101,-0.10054951643444299,0.3532806579370591
5.0,9.45777504074614,9.61157391632264,1.681174950916178,9.603968089026667e-20,0.000173632136007437,0.0007840463824128618,0.6497234960144619,0.9096952918684272,0.035171744250017734,-2.2319931668647186
5.0,9.45777504074614,10.690246171656078,1.923822413013641,7.864116589308683e-24,0.00016095698640853831,0.0011196003557701895,0.25673550251453153,0.7611260006090184,-0.35382842440657053,1.0068121267104924
5.0,9.45777504074614,10.657091717982498,2.315057097279193,4.85504798238662e-23,0.001333131896224689,0.0008955680639221031,0.034062120736226886,1.0269721076509208,-2.2096554720981527,1.2440725987632706
