alpha,lambda_0,lambda_1,lambda_2,spacing_pvalue,tspacing_pvalue,distance_t0t1,distance_t1t2,sigma_estimate,det_R,trace_R
1.0,1.891555008149228,3.1527464342025864,1.572064987777333,0.03662439154063189,0.12776746159215935,0.6783510130448129,0.42645346150971963,0.928909592184531,-1.0019151797602568,-1.3957537383285228
1.0,1.891555008149228,2.058349988045186,1.4124662173156999,0.41372691031342174,0.4709297512524693,0.6141475910272495,0.35411765290576713,0.9063546476195131,-1.5188705221501109,-1.504786427278955
1.0,1.891555008149228,3.40566298022992,2.3310676983011365,0.06254027502269077,0.2515099870644867,0.18661704429433806,0.49282513088935503,0.9370549634952523,-0.22556947826793675,-0.1152666426185085
1.0,1.891555008149228,2.1655643114626626,2.0459025860843942,0.8007823616763176,0.8451601467564225,0.2168251329473178,0.5030955185653192,0.8906586893641311,-0.20349270598605718,-1.117152089036729
1.0,1.891555008149228,2.627017262452794,0.9439807719303677,0.0867110926650741,0.025420562510731357,0.008195792588331197,0.5177051179601002,0.5391394908766215,-0.21960144455872582,-0.4229583655783742
1.0,1.891555008149228,3.457605020691809,2.8178961507922944,0.2052996100101983,0.6542283261800371,0.08127089669569465,0.4834970823295283,1.2676364434031542,0.028726254037149002,2.037285691722943
1.0,1.891555008149228,3.6822415057674585,0.6659070738299252,0.00590679291297379,0.0008353206804293997,0.005359023566075205,0.10703096538510054,0.3392320959363526,0.07613371856827461,0.7454122100285949
1.0,1.891555008149228,2.8796261040589255,2.4259913543130693,0.32270935147637675,0.5710528713993962,0.6011679424453561,0.6270669500938898,1.0695929466329914,0.5972961777384412,-2.022981327719997
1.0,1.891555008149228,1.9409512007239118,1.7349624353014772,0.7065445645800277,0.7345799627395728,0.7453955675151405,0.616109391332978,0.8764149043806989,0.5809942522345908,-2.211049025465747
1.0,1.891555008149228,1.9915430274302381,1.5849551736159253,0.7048119061597741,0.7574743743710216,0.2885429244088741,0.0923036661155121,0.8898727887151548,-2.3073321838636103,-0.1648193443947661
