alpha,lambda_0,lambda_1,lambda_2,spacing_pvalue,tspacing_pvalue,distance_t0t1,distance_t1t2,sigma_estimate,det_R,trace_R
0.5,0.945777504074614,2.1688389247614692,1.1763756698620806,0.4072927072221563,0.23742005821559364,0.06988925514200156,0.010374796555702392,0.5571607004208181,-0.9709902509881614,0.3299327184269003
0.5,0.945777504074614,2.098629189917998,1.0933364143538336,0.28935577196062146,0.21580150346284513,0.21288958178806833,0.6837483274913614,0.7313663880573544,-0.6347442053362503,-0.783964873442899
0.5,0.945777504074614,2.7690783117562057,1.9412942972586333,0.15964446660201717,0.2681365193435779,0.09528664435384304,0.6404084032893498,0.857160617241639,1.0277500475057182,-2.240800086875853
0.5,0.945777504074614,1.9711685079424432,1.5432672267737197,0.4917533879843181,0.5378422650863514,0.6660060665607419,0.6904057316841787,0.9129468534234201,1.4101569784792098,-2.685634720128263
0.5,0.945777504074614,3.0437172194317563,1.469212657714742,0.03750229730747225,0.08367871390334196,0.05584533598734137,0.5865657547188028,0.8332045945933418,0.4942051668023604,-1.7681149710307702
0.5,0.945777504074614,1.8739112818355261,1.860760213581392,0.9780645355459044,0.978153097195616,0.64628937881702,0.5660754232708186,0.7905687284141415,0.5001907061245663,-1.5682530604181393
0.5,0.945777504074614,2.4257727730562104,1.662343643008861,0.2275230567346095,0.3338020229427692,0.8299208099150608,0.7062082818364677,0.9422478336831182,1.4017448975708937,-2.9363560874425785
0.5,0.945777504074614,1.4277545985213438,0.9931867823961416,0.6434021351315874,0.34742439520440793,0.012376639176394144,0.7108837252933867,0.5431674717164305,0.1169203434739445,-1.5896043725716746
0.5,0.945777504074614,2.203603978209165,1.351573096031506,0.27933815832134234,0.16145026383359942,0.4477751413752821,0.5647294858341425,0.5918692148411686,-0.03880613179703356,-0.7018065668661516
0.5,0.945777504074614,2.467242505315076,2.3793716216417766,0.8162018910032585,0.8911626086753178,0.11331875452425438,0.6530972382193723,1.0408703128859598,1.5340635884302072,-2.8726659406810002
0.5,0.945777504074614,2.272808779830125,1.5308204912066872,0.2921279670134471,0.3010724275641599,0.7554434777293053,0.5856879639758471,0.7828209132364511,0.1482204676985313,-0.8986169390499612
0.5,0.945777504074614,2.153224273728578,1.1400321463318908,0.2973842244043824,0.17338576411357584,0.538077967396523,0.7068627893507025,0.6323636608244019,-1.2348258886948889,-0.8450074476621907
0.5,0.945777504074614,2.6507932999027672,2.153962623350228,0.3257689951423151,0.5051207958089559,0.5164416365778057,0.6221765158390758,0.977455474710329,0.9279675728989109,-2.1675393537986913
0.5,0.945777504074614,2.0945076630700443,1.4423027760685236,0.36053836139779044,0.37119304348649,0.10502283430269743,0.6688834073815557,0.8318503255827565,-0.14402890128776907,-1.9479891248635153
0.5,0.945777504074614,1.9132420166120097,1.3890348126972185,0.4836231444253661,0.3934584118971399,0.25237677153093707,0.6735952931616584,0.7050377658481671,-0.388286898437428,-1.3551118073131025
0.5,0.945777504074614,2.3212079338096308,1.4686439084575662,0.25866580065462114,0.26773098935835643,0.7504046223426509,0.5805937524059175,0.7795137196130403,-0.26842352444660045,-0.6214861511217029
0.5,0.945777504074614,3.3626412196554343,1.6159028485462117,0.016708604170101716,0.09029646593789656,0.13930044865312258,0.7110444103878608,0.9589539207640704,0.464849599015536,-2.568631667949219
0.5,0.945777504074614,1.9519977968275783,1.0192306803387237,0.3229131036011942,0.13018380181985537,0.07823516130768227,0.6370952965988834,0.5767680278843258,-0.017397251519677543,-0.8058508684124079
0.5,0.945777504074614,2.4432791142478365,1.4116306206330342,0.23119145753401446,0.18903625817638695,0.479737299092931,0.3777799927695552,0.658936417819184,0.0450660701255362,0.7408857046157755
0.5,0.945777504074614,3.497638895458155,1.169103582224834,0.010422690651006958,0.014280690971066575,0.4982713619158637,0.5644779176479542,0.5960854128510158,-0.31451383250345305,0.06696346701699496
0.5,0.945777504074614,1.8750147233056744,1.6112601433414817,0.6769447209799508,0.6770961068932576,0.8288926862110383,0.66137985887447,0.8223498555417723,-0.37472442802949346,-1.3087950433653437
0.5,0.945777504074614,2.8582640904556507,1.6708571909506638,0.07654186293021421,0.24376181718497913,0.595737304552296,0.7167469183510785,1.1072865711856068,1.5163345899391896,-3.2849575101646513
0.5,0.945777504074614,2.5037769624067323,2.391086254796093,0.886962878991002,0.9663392474956303,0.1309582750554269,0.37126392916981404,1.1972554232140158,1.0699780001363155,2.6461397804397757
