alpha,lambda_0,lambda_1,lambda_2,spacing_pvalue,tspacing_pvalue,distance_t0t1,distance_t1t2,sigma_estimate,det_R,trace_R
3.5,6.6204425285222985,6.689816167532282,3.36748156378968,3.1068398688066633e-07,0.10468026506479904,0.00016940970116502418,0.1029723901354786,1.3033221117602103,-1.160702833183437,2.596046720916959
3.5,6.6204425285222985,8.159373255401958,2.681506044159088,1.2277080112809318e-12,0.009592309180130671,0.0005085246808340105,0.13669950616003812,0.9735434877623923,1.6358575799431618,2.983313262448176
3.5,6.6204425285222985,6.730793686316528,2.136359174228687,9.908931844468122e-09,0.012913481816236187,0.0075848809854201504,0.1611739680021616,0.9640710101419211,0.6116404141251575,2.080420752425796
3.5,6.6204425285222985,7.127012685455658,2.752173814375487,1.134865069739625e-09,0.026986542556441305,0.008930405769443372,0.4277262563357308,1.3493339082427571,-0.04822145794174405,0.673062055878114
3.5,6.6204425285222985,6.292612400504775,2.242986725457731,8.871107079354736e-08,0.011249012331725263,0.0017801754288694904,0.35106478866119123,0.9647649826347221,-1.071990170005358,0.009721282195816805
3.5,6.6204425285222985,6.616994818796753,2.356284379740547,1.024054843518732e-08,0.015534045938476279,0.0020383622966326786,0.6948997615455985,1.2243710271458146,-2.079805772471643,-2.319792302622602
3.5,6.6204425285222985,6.916808605200027,1.8384026355306653,2.925992824565907e-10,0.004066501324408118,0.003064996288545452,0.7253011663373992,1.198766014226304,5.480513882669897,-4.863226688666916
3.5,6.6204425285222985,8.64446227904405,2.157830817435238,9.746818302230926e-16,0.0009946072026749686,0.007765695709804954,0.690199555517475,1.075492414602138,3.424385451937008,-3.9423865215047047
3.5,6.6204425285222985,6.116698208516537,2.1364619394023445,2.9041953132983576e-07,0.01330071312437287,0.002815941068246064,0.3856947518048086,0.9161000627959606,0.2514453885873987,1.3898194905559862
3.5,6.6204425285222985,5.683316159263832,3.0070397974115908,1.4497500395921876e-05,0.07090984851440839,0.0019556222386036826,0.5780479217147778,1.2266128798770752,-0.3835430397355194,-0.9364487572366078
3.5,6.6204425285222985,6.509136744114378,2.2518031906243294,6.152607141313936e-08,0.024417701532304152,0.00021469454882622196,0.03223099676200358,1.0583165456501578,-4.031317872205499,0.3469100808501384
3.5,6.6204425285222985,5.871150652782838,2.095404249075847,7.863962470331756e-07,0.014229771738043177,4.91663158704303e-05,0.5162003256465013,0.9791430123310749,-1.4264608530938652,-0.3933153393591975
