alpha,lambda_0,lambda_1,lambda_2,spacing_pvalue,tspacing_pvalue,distance_t0t1,distance_t1t2,sigma_estimate,det_R,trace_R
1.5,2.837332512223842,4.9341763278518895,2.1926670170289713,0.00044138545005712555,0.11184103491869986,0.0045896381438925715,0.007185302733024368,1.0019657402472752,0.8060237896666141,2.547401607499269
1.5,2.837332512223842,3.906535548723374,2.094690484198615,0.006009317541003709,0.07752824122730334,0.0041665457839079045,0.631202418119641,0.9070479305601113,0.22031543232081646,-1.6443949270079383
1.5,2.837332512223842,2.5305970544143292,2.4870703855893974,0.908480306594954,0.9510385824284929,0.5927375943942234,0.5099614388231266,1.0277484485420378,-0.31782768948472323,-0.2874445959979217
1.5,2.837332512223842,2.6519355058892966,2.4101054041662,0.5566790040654348,0.7791191598386888,0.009955850432555757,0.5778805073823068,1.2627085748971445,1.7286056640909708,-2.8839536692043093
1.5,2.837332512223842,2.4685536793679304,0.8997256602387319,0.13486041635725515,0.03586921978794543,0.001044345491460985,0.7028584151572259,0.5231944365195762,-0.8233032351811833,-0.6671552544362692
1.5,2.837332512223842,2.9158491900019836,2.102354986106468,0.17753243038601682,0.3490717213431059,0.012599397635361775,0.6063020667692033,0.8841973644597166,-1.0908541605285582,-0.17501410898652958
1.5,2.837332512223842,2.9323032566136886,2.1796576342937937,0.21909281059762778,0.5182650472795896,0.015016581246253602,0.5293721503162838,1.095200321160868,-1.028395190092669,0.6584770594486478
1.5,2.837332512223842,1.6988601049644596,1.6007031429581933,0.8692535217829607,0.9079737692755626,0.7210347661076255,0.5939109428659495,1.0740859632095767,0.09747453495382448,-1.3214016053867594
1.5,2.837332512223842,3.6269097000935355,2.4396868023675466,0.03757448904476266,0.29872024839227196,0.011068209332381895,0.5582891687279502,1.171306125604928,-0.4447132128448576,-0.35864581469854095
1.5,2.837332512223842,4.460930313693238,1.2454030888770733,0.00014745454145739646,0.00364190754963218,0.0026627013985024983,0.6740764369514445,0.7227076780238223,1.5904830968132044,-2.6225349210831435
1.5,2.837332512223842,3.8727938495863445,1.3941316727982973,0.0023827135118429264,0.02766615300817402,0.008589463389800711,0.692139487919953,0.8662877288987642,-0.14976715173671773,-1.6851792774878154
1.5,2.837332512223842,2.638290692045185,0.927486477591228,0.14266911323365392,0.030817220505291638,0.003763288269727161,0.04909985198971267,0.4180725593387517,0.1314841967460808,1.0411775118770805
1.5,2.837332512223842,3.7110138881869914,1.3965328183805863,0.007688602779254408,0.0883322056999917,0.025141960341010683,0.6666872123529796,0.9726918973749739,-2.0390064593354107,-0.5872820778622896
1.5,2.837332512223842,3.6307299025250073,2.2596081467369062,0.03144458271767946,0.226386750402773,0.06747922661599698,0.4188580157815758,0.9916916168182249,0.38633570387058724,1.264647883450189
1.5,2.837332512223842,3.9291426005330723,1.8238296526138014,0.007527921622753712,0.1022844994603581,0.0039799645627708324,0.1045246095130472,0.8974114471203138,-2.581157823109243,0.00867714076756787
1.5,2.837332512223842,4.04281157501575,2.6109660215519903,0.011944578575650996,0.31664794189753065,0.010840711015498106,0.6671622560547477,1.4635227425483601,-2.5518018279585264,-1.9218000179539827
1.5,2.837332512223842,2.973021926321287,1.2403582915432751,0.04886355155673274,0.05791342074245223,0.0022896470817148074,0.5657614136067134,0.6980431586367063,-0.4155157062437468,-0.20609638251783213
1.5,2.837332512223842,3.948795160734022,2.035253105661101,0.007521057878381318,0.0893232314659664,0.0028000927617051197,0.2529678380833196,0.8351947318157003,-1.2219002390498188,0.4472641900048806
1.5,2.837332512223842,3.5854904620161925,1.6203059145295449,0.02494910039286616,0.1013390668220584,0.017330380753450114,0.00521362234886924,0.7235294247448932,-1.226697710547541,0.869895367336186
1.5,2.837332512223842,2.4697672010494247,2.325170338153479,0.7173171529781166,0.8836305415252751,0.7287828527765303,0.6894083680554925,1.4246197587103893,1.3881023555565701,-3.8353759206745126
1.5,2.837332512223842,6.709607973435641,2.2505116853260705,4.3052260293320474e-09,0.0076386039521761815,0.006678292032679001,0.5773472767307255,1.064035554176814,0.24475862958918682,-1.2665562298034005
1.5,2.837332512223842,3.162158451396348,3.0177100135352988,0.6993316790520738,0.916474910462234,0.020494819302617873,0.404630688697858,1.3729478791096954,1.2409903410337908,2.426734814587185
1.5,2.837332512223842,3.5714900444786286,1.7264753685300949,0.018208027824139057,0.10857543537893102,0.045413017886542895,0.6118952528244056,0.8645211622715222,-1.3890983770259255,0.18287524291226953
1.5,2.837332512223842,3.620629148326379,1.3853128267689392,0.006777023966043272,0.01611943490102215,0.0034680129868841503,0.4937142223373073,0.6332713102051777,-0.04935730038613548,-0.48499459746487594
1.5,2.837332512223842,2.506924547024875,1.7852516176244642,0.26497555114900767,0.3184782109412148,0.01332017272308661,0.5617702566020598,0.7741881103034616,-0.22066712392724533,-0.45173613736273
