alpha,lambda_0,lambda_1,lambda_2,spacing_pvalue,tspacing_pvalue,distance_t0t1,distance_t1t2,sigma_estimate,det_R,trace_R
2.0,3.783110016298456,2.5221670666459097,0.8606173102216449,0.08781420882758502,0.008209659160901198,0.0024610554517371375,0.601827407693186,0.424208751630249,0.16919802204212558,-1.0278067367662538
2.0,3.783110016298456,4.6785731023931385,2.0605786400375607,0.0009112253439908786,0.06782220072798456,0.0013003466367713101,0.02827673770593303,0.7943085666566954,-0.04633501409567487,1.9859361735024663
2.0,3.783110016298456,6.347831750442302,1.7461267790039863,1.2957504479462707e-08,0.004347121492337728,0.007344524721171752,0.6470521175388514,1.0563290178299976,1.99510485790508,-3.120103346935026
2.0,3.783110016298456,2.654551346692363,2.2044616011361984,0.3456605293188491,0.5500075671341406,0.009675941448933079,0.6413473094966095,1.056338254725724,3.0585727003997185,-3.5027258376663717
2.0,3.783110016298456,2.1499310372621805,1.9521959028480538,0.8328228958727422,0.8603601146916715,0.00022460977874960708,0.1360069235809121,0.7729513667523293,-0.14801869232551168,1.6274911969525303
2.0,3.783110016298456,4.365406954370726,1.8451009600396917,0.00132201965803699,0.05751462587890861,0.01040374700147928,0.15607734957687752,0.890572505639664,-2.2002762842313546,0.09983694377284302
2.0,3.783110016298456,2.8300258791794954,2.042173387648616,0.2123545397196018,0.5716176619148128,0.021676116040728444,0.6560129038265232,1.2959108099406207,-3.14359592619994,-1.0625129776467916
2.0,3.783110016298456,3.6359878975022655,1.110497558251557,0.006354950008594996,0.009065346781222072,0.04129481847398936,0.5487630172951731,0.5726647670629674,-0.5376259973933418,-0.1270707037316997
2.0,3.783110016298456,3.6580296090501134,1.0635005821899635,0.005189485617762575,0.0039346570661761004,0.005470977521009113,0.4593994895090142,0.4929924550992796,-0.015650926667789528,0.068799955653561
2.0,3.783110016298456,5.661567167363149,1.6789414590021987,1.0405842271526105e-06,0.0034274794818803835,0.005342833367890321,0.5534727842703193,0.7664551878234694,-0.2064742107059972,-0.7749386717377319
2.0,3.783110016298456,4.102121986802273,1.198830319451411,0.0009606834641157439,0.012217486241729459,0.0032911794328577826,0.674898173521362,0.7741080896495308,-0.9440121468843158,-1.3625909413109538
2.0,3.783110016298456,4.716748740481567,1.6014479429504396,0.00017654909545021782,0.010923677653635163,0.00544851660364859,0.3175354648595865,0.6909524852641337,-0.746778708572867,0.41471593990623945
2.0,3.783110016298456,4.619054574713138,1.136834234527684,0.00011497861212985534,0.0018880734180525237,3.686996742213733e-05,0.5892745360122271,0.5857406339864263,-0.18986162334955298,-0.35477610210886523
